goos: darwin
goarch: arm64
pkg: github.com/gsoultan/gwaf
cpu: Apple M5 Pro
BenchmarkBenignGET-15              	 1241335	       963.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1237024	       971.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1233579	       972.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1229446	       975.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1230948	       977.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1213963	       986.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1223302	       979.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1215154	       987.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1203688	       998.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignGET-15              	 1202462	       997.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   65799	     18303 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   64945	     18456 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   65738	     18472 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   64905	     18236 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   65882	     18239 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   66540	     18091 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   66307	     18336 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   65266	     18319 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   66200	     18125 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignPOSTJSON-15         	   66444	     18147 ns/op	       0 B/op	       0 allocs/op
BenchmarkBenignLargeBody-15        	      56	  20698153 ns/op	  50.66 MB/s	 2235363 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20464021 ns/op	  51.24 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20567915 ns/op	  50.98 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      56	  20479331 ns/op	  51.20 MB/s	 2235326 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20283791 ns/op	  51.69 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20181999 ns/op	  51.95 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      56	  20156691 ns/op	  52.02 MB/s	 2235326 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20206159 ns/op	  51.89 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      55	  20366975 ns/op	  51.48 MB/s	 2236796 B/op	       5 allocs/op
BenchmarkBenignLargeBody-15        	      57	  20396814 ns/op	  51.41 MB/s	 2233944 B/op	       5 allocs/op
BenchmarkAttack-15                 	 1000000	      1061 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1062 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1052 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1073 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1061 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1053 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1046 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1064 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1040 ns/op	      64 B/op	       4 allocs/op
BenchmarkAttack-15                 	 1000000	      1137 ns/op	      64 B/op	       4 allocs/op
BenchmarkManyArgs-15               	   12086	     99176 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12344	     96922 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12247	     97609 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12699	     94640 ns/op	      13 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12488	     95921 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12426	     96436 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12494	     95889 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12517	     95593 ns/op	      14 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12615	     95021 ns/op	      13 B/op	       0 allocs/op
BenchmarkManyArgs-15               	   12644	     95048 ns/op	      13 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4752676	       253.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4718751	       253.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4757004	       251.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4736288	       253.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4748498	       253.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4720753	       254.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4744107	       253.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4701476	       254.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4740475	       251.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=10-15         	 4800877	       250.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4753623	       251.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4783988	       251.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4794577	       248.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4828314	       248.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4844287	       248.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4858480	       248.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4878256	       247.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4807238	       251.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4777750	       254.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=100-15        	 4728655	       252.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4823935	       250.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4752440	       252.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4692442	       254.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4826743	       248.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4819422	       248.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4918414	       244.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4867491	       246.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4897106	       246.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4866471	       246.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRulesetScaling/rules=1000-15       	 4907334	       245.0 ns/op	       0 B/op	       0 allocs/op
